,DATE,Price
521,2010-06-01,208.263
522,2010-07-01,208.938
523,2010-08-01,208.395
524,2010-09-01,210.342
525,2010-10-01,211.389
526,2010-11-01,212.803
527,2010-12-01,212.305
528,2011-01-01,215.238
529,2011-02-01,217.117
530,2011-03-01,219.267
531,2011-04-01,220.584
532,2011-05-01,223.416
533,2011-06-01,222.802
534,2011-07-01,223.857
535,2011-08-01,225.1
536,2011-09-01,226.431
537,2011-10-01,227.017
538,2011-11-01,227.556
539,2011-12-01,229.455
540,2012-01-01,230.765
541,2012-02-01,229.648
542,2012-03-01,230.906
543,2012-04-01,230.834
544,2012-05-01,229.333
545,2012-06-01,230.092
546,2012-07-01,231.019
547,2012-08-01,231.727
548,2012-09-01,230.703
549,2012-10-01,232.231
550,2012-11-01,232.145
551,2012-12-01,232.919
552,2013-01-01,233.596
553,2013-02-01,234.033
554,2013-03-01,233.661
555,2013-04-01,234.114
556,2013-05-01,233.907
557,2013-06-01,235.03
558,2013-07-01,235.546
559,2013-08-01,236.587
560,2013-09-01,237.245
561,2013-10-01,239.114
562,2013-11-01,238.746
563,2013-12-01,239.846
564,2014-01-01,241.121
565,2014-02-01,243.344
566,2014-03-01,245.753
567,2014-04-01,249.377
568,2014-05-01,252.605
569,2014-06-01,253.007
570,2014-07-01,253.499
571,2014-08-01,257.059
572,2014-09-01,259.296
573,2014-10-01,258.834
574,2014-11-01,260.278
575,2014-12-01,261.713
576,2015-01-01,262.134
577,2015-02-01,262.037
578,2015-03-01,260.598
579,2015-04-01,259.017
580,2015-05-01,257.79
581,2015-06-01,261.146
582,2015-07-01,261.275
583,2015-08-01,262.348
584,2015-09-01,261.79
585,2015-10-01,260.802
586,2015-11-01,259.094
587,2015-12-01,255.937
588,2016-01-01,253.24
589,2016-02-01,252.506
590,2016-03-01,251.508
591,2016-04-01,250.703
592,2016-05-01,249.343
593,2016-06-01,247.683
594,2016-07-01,246.197
595,2016-08-01,245.208
596,2016-09-01,245.258
597,2016-10-01,244.097
598,2016-11-01,243.807
599,2016-12-01,242.631
600,2017-01-01,244.075
601,2017-02-01,244.889
602,2017-03-01,245.303
603,2017-04-01,243.69
604,2017-05-01,243.922
605,2017-06-01,244.721
606,2017-07-01,246.283
607,2017-08-01,246.4
608,2017-09-01,246.196
609,2017-10-01,247.553
610,2017-11-01,247.049
611,2017-12-01,249.975
612,2018-01-01,249.003
613,2018-02-01,249.041
614,2018-03-01,250.248
615,2018-04-01,251.733
616,2018-05-01,248.904
