,date_time,Food - Index (1982-1984=100),Food - Pct_Change (Yearly),Food - Pct_Change (Monthly)
276,1990-01-01,126.1,6.955046649703123,1.8578352180937063
277,1990-02-01,127.0,7.263513513513509,0.7137192704202988
278,1990-03-01,127.4,5.813953488372103,0.31496062992126816
279,1990-04-01,128.1,5.955334987593042,0.5494505494505475
280,1990-05-01,128.2,5.427631578947367,0.07806401249024209
281,1990-06-01,130.2,6.633906633906639,1.5600624024961096
282,1990-07-01,130.3,7.066557107641747,0.07680491551460555
283,1990-08-01,130.9,7.383100902378992,0.46047582501917983
284,1990-09-01,131.8,7.59183673469388,0.6875477463712754
285,1990-10-01,132.7,8.5924713584288,0.6828528072837514
286,1990-11-01,133.2,8.646003262642733,0.37678975131876236
287,1990-12-01,133.9,8.1583198707593,0.5255255255255387
288,1991-01-01,133.7,6.026962727993657,-0.14936519790890168
289,1991-02-01,133.4,5.039370078740157,-0.2243829468960179
290,1991-03-01,133.3,4.6310832025117765,-0.07496251874062887
291,1991-04-01,132.8,3.669008587041378,-0.3750937734433579
292,1991-05-01,133.1,3.8221528861154486,0.22590361445782303
293,1991-06-01,132.7,1.920122887864828,-0.3005259203606392
294,1991-07-01,132.7,1.8419033000767193,0.0
295,1991-08-01,132.6,1.298701298701288,-0.07535795026374359
296,1991-09-01,132.0,0.15174506828528056,-0.4524886877828038
297,1991-10-01,131.8,-0.6782215523737589,-0.15151515151514694
298,1991-11-01,131.3,-1.4264264264264082,-0.3793626707132014
299,1991-12-01,131.8,-1.5683345780433067,0.38080731150038627
300,1992-01-01,130.5,-2.393418100224376,-0.9863429438543347
301,1992-02-01,130.3,-2.323838080959517,-0.15325670498083088
302,1992-03-01,130.0,-2.4756189047261845,-0.23023791250960102
303,1992-04-01,130.1,-2.033132530120496,0.07692307692306333
304,1992-05-01,130.4,-2.0285499624342562,0.2305918524212247
305,1992-06-01,130.5,-1.6578749058025588,0.07668711656441118
306,1992-07-01,130.5,-1.6578749058025588,0.0
307,1992-08-01,130.8,-1.3574660633484004,0.22988505747127963
308,1992-09-01,131.7,-0.2272727272727315,0.6880733944953921
309,1992-10-01,131.7,-0.07587253414266248,0.0
310,1992-11-01,131.7,0.30464584920029125,0.0
311,1992-12-01,132.0,0.15174506828528056,0.2277904328018332
312,1993-01-01,133.0,1.9157088122605304,0.7575757575757569
313,1993-02-01,133.1,2.148887183422854,0.07518796992480592
314,1993-03-01,134.0,3.076923076923066,0.6761833208114298
315,1993-04-01,135.5,4.150653343581867,1.1194029850746245
316,1993-05-01,135.5,3.9110429447852813,0.0
