,date_time,All Items - Index (1982-1984=100),All Items - Pct_Change (Yearly),All Items - Pct_Change (Monthly)
516,1990-01-01,127.5,5.198019801980203,0.9501187648456089
517,1990-02-01,128.0,5.263157894736836,0.39215686274509665
518,1990-03-01,128.6,5.237315875613735,0.46874999999999556
519,1990-04-01,128.9,4.711616571892785,0.2332814930015692
520,1990-05-01,129.1,4.365400161681476,0.15515903801395226
521,1990-06-01,129.9,4.673650282030639,0.6196746707978429
522,1990-07-01,130.5,4.819277108433728,0.4618937644341736
523,1990-08-01,131.6,5.702811244979911,0.8429118773946254
524,1990-09-01,132.5,6.169871794871806,0.6838905775075954
525,1990-10-01,133.4,6.379585326953752,0.6792452830188811
526,1990-11-01,133.7,6.195393169181873,0.2248875562218755
527,1990-12-01,134.2,6.254948535233562,0.37397157816005944
528,1991-01-01,134.7,5.647058823529405,0.37257824143070994
529,1991-02-01,134.8,5.312500000000009,0.07423904974017681
530,1991-03-01,134.8,4.821150855365497,0.0
531,1991-04-01,135.1,4.809930178432875,0.2225519287833766
532,1991-05-01,135.6,5.034856700232382,0.37009622501851247
533,1991-06-01,136.0,4.695919938414161,0.2949852507374784
534,1991-07-01,136.2,4.367816091954024,0.14705882352941124
535,1991-08-01,136.6,3.7993920972644313,0.2936857562408246
536,1991-09-01,137.0,3.396226415094339,0.2928257686676483
537,1991-10-01,137.2,2.8485757121439192,0.14598540145984717
538,1991-11-01,137.8,3.0665669409125185,0.4373177842565745
539,1991-12-01,138.2,2.980625931445613,0.2902757619738683
540,1992-01-01,138.3,2.672605790645899,0.07235890014474222
541,1992-02-01,138.6,2.8189910979228294,0.2169197396963085
542,1992-03-01,139.1,3.189910979228472,0.3607503607503615
543,1992-04-01,139.4,3.1828275351591495,0.21567217828901697
544,1992-05-01,139.7,3.0235988200590036,0.21520803443326741
545,1992-06-01,140.1,3.0147058823529305,0.28632784538296097
546,1992-07-01,140.5,3.1571218795888534,0.2855103497501732
547,1992-08-01,140.8,3.0746705710102518,0.2135231316725994
548,1992-09-01,141.1,2.9927007299270114,0.21306818181816567
549,1992-10-01,141.7,3.279883381924198,0.425230333097093
550,1992-11-01,142.1,3.1204644412191396,0.2822865208186309
551,1992-12-01,142.3,2.966714905933454,0.14074595355384467
552,1993-01-01,142.8,3.2537960954446943,0.35137034434293835
553,1993-02-01,143.1,3.2467532467532534,0.21008403361342243
554,1993-03-01,143.3,3.0194104960460155,0.13976240391335715
555,1993-04-01,143.8,3.1563845050215145,0.34891835310537633
556,1993-05-01,144.2,3.2211882605583497,0.2781641168289051
557,1993-06-01,144.3,2.9978586723768963,0.06934812760057696
558,1993-07-01,144.5,2.8469750889679624,0.1386001386001201
559,1993-08-01,144.8,2.840909090909083,0.20761245674740803
560,1993-09-01,145.0,2.7639971651311157,0.13812154696131174
561,1993-10-01,145.6,2.752293577981657,0.4137931034482678
562,1993-11-01,146.0,2.7445460942997935,0.27472527472527375
563,1993-12-01,146.3,2.8109627547435068,0.205479452054802
564,1994-01-01,146.3,2.450980392156854,0.0
565,1994-02-01,146.7,2.515723270440251,0.2734107997265811
566,1994-03-01,147.1,2.6517794836008246,0.27266530334015826
567,1994-04-01,147.2,2.364394993045882,0.06798096532969478
568,1994-05-01,147.5,2.288488210818307,0.20380434782609758
569,1994-06-01,147.9,2.494802494802495,0.2711864406779618
570,1994-07-01,148.4,2.69896193771626,0.33806626098715764
571,1994-08-01,149.0,2.900552486187835,0.40431266846361336
572,1994-09-01,149.3,2.965517241379323,0.2013422818792021
573,1994-10-01,149.4,2.609890109890123,0.06697923643670389
574,1994-11-01,149.8,2.602739726027403,0.2677376171352108
575,1994-12-01,150.1,2.597402597402576,0.20026702269690944
576,1995-01-01,150.5,2.8708133971291794,0.26648900732844094
577,1995-02-01,150.9,2.862985685071595,0.2657807308970028
578,1995-03-01,151.2,2.7872195785180187,0.1988071570576455
579,1995-04-01,151.8,3.125000000000022,0.3968253968254176
580,1995-05-01,152.1,3.1186440677966054,0.19762845849802257
581,1995-06-01,152.4,3.0425963488843744,0.19723865877712132
582,1995-07-01,152.6,2.8301886792452713,0.1312335958005173
583,1995-08-01,152.9,2.6174496644295386,0.1965923984272644
584,1995-09-01,153.1,2.54521098459477,0.1308044473512071
585,1995-10-01,153.5,2.7443105756358666,0.2612671456564408
586,1995-11-01,153.7,2.603471295060067,0.13029315960910726
587,1995-12-01,153.9,2.5316455696202667,0.13012361743658385
588,1996-01-01,154.7,2.7906976744185963,0.5198180636777128
589,1996-02-01,155.0,2.717031146454607,0.19392372333548735
590,1996-03-01,155.5,2.8439153439153486,0.3225806451612856
591,1996-04-01,156.1,2.832674571805005,0.38585209003214604
592,1996-05-01,156.4,2.827087442472065,0.19218449711724261
593,1996-06-01,156.7,2.8215223097112663,0.19181585677747748
594,1996-07-01,157.0,2.8833551769331667,0.19144862795150708
595,1996-08-01,157.2,2.8122956180510084,0.1273885350318471
596,1996-09-01,157.7,3.0045721750489918,0.31806615776082126
597,1996-10-01,158.2,3.0618892508143203,0.3170577045022105
598,1996-11-01,158.7,3.2530904359141077,0.3160556257901348
599,1996-12-01,159.1,3.378817413905133,0.2520478890989386
600,1997-01-01,159.4,3.0381383322559907,0.18856065367693908
601,1997-02-01,159.7,3.0322580645161246,0.18820577164364583
602,1997-03-01,159.8,2.7652733118971096,0.06261740763933155
603,1997-04-01,159.9,2.434336963484962,0.06257822277846437
604,1997-05-01,159.9,2.237851662404089,0.0
605,1997-06-01,160.2,2.233567326100827,0.18761726078797558
